size,omega0
1,0
2,0
3,0
4,0.003
5,0.002
6,0.016
7,0.021
8,0.038
9,0.057
10,0.065
11,0.086
12,0.105
13,0.123
14,0.138
15,0.184
16,0.232
17,0.23
18,0.288
19,0.317
20,0.356
21,0.384
22,0.448
23,0.486
24,0.54
25,0.567
26,0.673
27,0.676
28,0.727
29,0.809
30,0.856
31,0.866
32,0.936
33,0.983
34,1.105
35,1.102
36,1.144
37,1.324
38,1.243
39,1.415
40,1.5
41,1.569
42,1.606
43,1.673
44,1.771
45,1.901
46,1.927
47,2.048
48,2.133
49,2.232
50,2.303
51,2.444
52,2.468
53,2.563
54,2.655
55,2.752
56,2.855
57,3.031
58,3.031
59,3.143
60,3.223
61,3.429
62,3.517
63,3.569
64,3.713
65,3.746
66,3.903
67,4.039
68,4.047
69,4.223
70,4.312
71,4.446
72,4.584
73,4.652
74,4.709
75,4.89
76,5.01
77,5.131
78,5.247
79,5.258
80,5.491
81,5.678
82,5.795
83,5.892
84,5.954
85,6.088
86,6.199
87,6.401
88,6.398
89,6.584
90,6.776
91,6.815
92,7.044
93,7.06
94,7.186
95,7.385
96,7.485
97,7.646
98,7.845
99,7.889
100,8.078196078
101,8.213
102,8.277
103,8.452
104,8.631
105,8.741
106,8.871
107,9.113
108,9.261
109,9.328
110,9.573
111,9.655
112,9.799
113,10.136
114,10.107
115,10.332
116,10.377
117,10.655
118,10.816
119,10.924
120,11.131
121,11.187
122,11.353
123,11.586
124,11.664
125,11.782
126,11.975
127,12.195
128,12.424
129,12.489
130,12.76
131,12.751
132,12.978
133,13.148
134,13.302
135,13.581
136,13.628
137,13.724
138,14.024
139,14.086
140,14.435
141,14.412
142,14.805
143,14.849
144,15.112
145,15.233
146,15.362
147,15.559
148,15.836
149,15.904
150,16.066
151,16.163
152,16.363
153,16.654
154,16.677
155,16.912
156,17.242
157,17.422
158,17.44
159,17.763
160,17.774
161,17.887
162,18.172
163,18.425
164,18.704
165,18.811
166,18.952
167,19.121
168,19.391
169,19.416
170,19.761
171,19.775
172,20.026
173,20.175
174,20.512
175,20.576
176,20.876
177,21.047
178,21.266
179,21.261
180,21.387
181,21.838
182,21.839
183,22.172
184,22.488
185,22.456
186,22.492
187,23.171
